English,Georgian
executed,განხორციელებული
compilation,კოლექცია
interpretation,ინტერპრეტაცია
distinguishes,განასხვავებს
innate,თანდაყოლილი
conventions,შეთანხმება
persuade,დაჯერება
means,ნიშნავს
very precisely,ძალიან ზუსტად
sophisticated,დახვეწილი
devoid,გამოთავისუფლებული
trace,კვალი
predetermined,წინასწარ განსაზღვრული
efficient,შედეგიანი
compiler,შემდგენელი
subsequent,შემდგომი
misleading,შეცდომაში შემყვანი
intentions,განზრახვა
significant,მნიშვნელოვანი
amendment,შესწორება
utilized,გამოყენებულია
circumstances,გარემოებები
puzzling,თავგზის ამბნევი
descendant,შთამომავალი
intuitive,ინტუიციური
trustworthy,სანდო
rivals,კონკურენტები
resembles,ჰგავს
derived,გამომდინარე
absent,არდამსწრე
conquered,დაპყრობილი
stalled,შეფერხდება
contrary,საწინააღმდეგო
incompatibilities,შეუთავსებლობა
agile,მოქნილი
forcibly,იძულებით
gauge,შეფასება